user_location,user_description,user_friends,date,tweet,favourites,feeling,month,word_count,char_count,._count,!_count,@_count,'_count,",_count",/_count,?_count,;_count,-_count,)_count,#_count,(_count,emojis,email_count,nickname_count,url_count,hashtag_count,emoji_count,cleaned_tweet,word_count_cleaned,char_count_cleaned,tokens,cleaned_tokens,lemmatized,spacy_lemmatized,lemmatized_pronouns,pos_tags,lemmatized_str,hour,year
,"Mars & Cars, Chips & Dips",115,2022-07-05 13:46:20," while bleak posts maybe generate more clicks, more happier moments in history would be nice",47623,0,7,16,107,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,while bleak posts maybe generate more clicks more happier moments in history would be nice,15,90,"['while', 'bleak', 'posts', 'maybe', 'generate', 'more', 'clicks', 'more', 'happier', 'moments', 'in', 'history', 'would', 'be', 'nice']","['bleak', 'posts', 'maybe', 'generate', 'clicks', 'happier', 'moments', 'history', 'would', 'nice']","['bleak', 'post', 'maybe', 'generate', 'click', 'happier', 'moment', 'history', 'would', 'nice']",bleak post maybe generate click happier moment history would nice,"[('bleak', 'ADJ'), ('post', 'NOUN'), ('maybe', 'ADV'), ('generate', 'VERB'), ('click', 'VERB'), ('happier', 'ADJ'), ('moment', 'NOUN'), ('history', 'NOUN'), ('would', 'AUX'), ('nice', 'VERB')]","[('bleak', 'ADJ'), ('post', 'NOUN'), ('maybe', 'ADV'), ('generate', 'VERB'), ('click', 'VERB'), ('happier', 'ADJ'), ('moment', 'NOUN'), ('history', 'NOUN'), ('would', 'AUX'), ('nice', 'VERB')]",bleak post maybe generate click happier moment history would nice,13,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 14:00:21,"  his success was in fact due, in part, because he was super fun at parties, spoke and wrote incredibly well!",3196,1,7,22,137,0,1,2,0,3,0,0,0,0,0,0,0,,0,2,0,0,0,his success was in fact due in part because he was super fun at parties spoke and wrote incredibly well,20,103,"['his', 'success', 'was', 'in', 'fact', 'due', 'in', 'part', 'because', 'he', 'was', 'super', 'fun', 'at', 'parties', 'spoke', 'and', 'wrote', 'incredibly', 'well']","['success', 'fact', 'due', 'part', 'super', 'fun', 'parties', 'spoke', 'wrote', 'incredibly', 'well']","['success', 'fact', 'due', 'part', 'super', 'fun', 'party', 'spoke', 'wrote', 'incredibly', 'well']",success fact due part super fun party spoke wrote incredibly well,"[('success', 'NOUN'), ('fact', 'NOUN'), ('due', 'ADJ'), ('part', 'NOUN'), ('super', 'ADJ'), ('fun', 'NOUN'), ('party', 'NOUN'), ('spoke', 'VERB'), ('wrote', 'VERB'), ('incredibly', 'ADV'), ('well', 'ADV')]","[('success', 'NOUN'), ('fact', 'NOUN'), ('due', 'ADJ'), ('part', 'NOUN'), ('super', 'ADJ'), ('fun', 'NOUN'), ('party', 'NOUN'), ('spoke', 'VERB'), ('wrote', 'VERB'), ('incredibly', 'ADV'), ('well', 'ADV')]",success fact due part super fun party spoke wrote incredibly well,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 14:42:21, it’s time,31194,1,7,3,19,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,its time,2,8,"['its', 'time']",['time'],['time'],time,"[('time', 'NOUN')]","[('time', 'NOUN')]",time,14,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 17:36:03,i must confess to a penchant for creative socks,97004,1,7,9,47,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,i must confess to a penchant for creative socks,9,47,"['i', 'must', 'confess', 'to', 'a', 'penchant', 'for', 'creative', 'socks']","['must', 'confess', 'penchant', 'creative', 'socks']","['must', 'confess', 'penchant', 'creative', 'sock']",must confess penchant creative sock,"[('must', 'AUX'), ('confess', 'VERB'), ('penchant', 'ADJ'), ('creative', 'ADJ'), ('sock', 'NOUN')]","[('must', 'AUX'), ('confess', 'VERB'), ('penchant', 'ADJ'), ('creative', 'ADJ'), ('sock', 'NOUN')]",must confess penchant creative sock,17,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 17:38:23,sock tech is so advanced that you can get pretty much anything in sock form these days!,23790,1,7,17,87,0,1,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,sock tech is so advanced that you can get pretty much anything in sock form these days,17,86,"['sock', 'tech', 'is', 'so', 'advanced', 'that', 'you', 'can', 'get', 'pretty', 'much', 'anything', 'in', 'sock', 'form', 'these', 'days']","['sock', 'tech', 'advanced', 'get', 'pretty', 'much', 'anything', 'sock', 'form', 'days']","['sock', 'tech', 'advanced', 'get', 'pretty', 'much', 'anything', 'sock', 'form', 'day']",sock tech advanced get pretty much anything sock form day,"[('sock', 'PROPN'), ('tech', 'PROPN'), ('advanced', 'ADJ'), ('get', 'VERB'), ('pretty', 'ADV'), ('much', 'ADV'), ('anything', 'PRON'), ('sock', 'NOUN'), ('form', 'NOUN'), ('day', 'NOUN')]","[('sock', 'PROPN'), ('tech', 'PROPN'), ('advanced', 'ADJ'), ('get', 'VERB'), ('pretty', 'ADV'), ('much', 'ADV'), ('anything', 'PRON'), ('sock', 'NOUN'), ('form', 'NOUN'), ('day', 'NOUN')]",sock tech advanced get pretty much anything sock form day,17,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 17:40:05, this guy gets it,3640,1,7,5,32,0,0,1,0,0,0,0,0,0,0,0,0,,0,1,0,0,0,this guy gets it,4,16,"['this', 'guy', 'gets', 'it']","['guy', 'gets']","['guy', 'get']",guy get,"[('guy', 'NOUN'), ('get', 'VERB')]","[('guy', 'NOUN'), ('get', 'VERB')]",guy get,17,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 17:46:15,always something new for the magazine cover and the articles practically write themselves,28610,1,7,13,89,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,always something new for the magazine cover and the articles practically write themselves,13,89,"['always', 'something', 'new', 'for', 'the', 'magazine', 'cover', 'and', 'the', 'articles', 'practically', 'write', 'themselves']","['always', 'something', 'new', 'magazine', 'cover', 'articles', 'practically', 'write']","['always', 'something', 'new', 'magazine', 'cover', 'article', 'practically', 'write']",always something new magazine cover article practically write,"[('always', 'ADV'), ('something', 'PRON'), ('new', 'ADJ'), ('magazine', 'NOUN'), ('cover', 'NOUN'), ('article', 'NOUN'), ('practically', 'ADV'), ('write', 'VERB')]","[('always', 'ADV'), ('something', 'PRON'), ('new', 'ADJ'), ('magazine', 'NOUN'), ('cover', 'NOUN'), ('article', 'NOUN'), ('practically', 'ADV'), ('write', 'VERB')]",always something new magazine cover article practically write,17,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 17:47:42,"sock con, the conference for socks",30753,1,7,6,34,0,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,0,0,sock con the conference for socks,6,33,"['sock', 'con', 'the', 'conference', 'for', 'socks']","['sock', 'con', 'conference', 'socks']","['sock', 'con', 'conference', 'sock']",sock con conference sock,"[('sock', 'PROPN'), ('con', 'PROPN'), ('conference', 'NOUN'), ('sock', 'NOUN')]","[('sock', 'PROPN'), ('con', 'PROPN'), ('conference', 'NOUN'), ('sock', 'NOUN')]",sock con conference sock,17,2022
,"Mars & Cars, Chips & Dips",115,2022-07-05 17:55:09, i find the gold toe sock – inevitably off kilter & washed out – a little troubling esthetically & arguably a bit corpo,6542,0,7,24,136,0,0,1,0,0,0,0,2,0,0,0,0,,0,1,0,0,0,i find the gold toe sock inevitably off kilter washed out a little troubling esthetically arguably a bit corpo,19,110,"['i', 'find', 'the', 'gold', 'toe', 'sock', 'inevitably', 'off', 'kilter', 'washed', 'out', 'a', 'little', 'troubling', 'esthetically', 'arguably', 'a', 'bit', 'corpo']","['find', 'gold', 'toe', 'sock', 'inevitably', 'kilter', 'washed', 'little', 'troubling', 'esthetically', 'arguably', 'bit', 'corpo']","['find', 'gold', 'toe', 'sock', 'inevitably', 'kilter', 'washed', 'little', 'troubling', 'esthetically', 'arguably', 'bit', 'corpo']",find gold toe sock inevitably kilter washed little troubling esthetically arguably bit corpo,"[('find', 'VERB'), ('gold', 'NOUN'), ('toe', 'NOUN'), ('sock', 'NOUN'), ('inevitably', 'ADV'), ('kilter', 'PROPN'), ('washed', 'VERB'), ('little', 'ADJ'), ('troubling', 'ADJ'), ('esthetically', 'ADV'), ('arguably', 'ADV'), ('bit', 'NOUN'), ('corpo', 'NOUN')]","[('find', 'VERB'), ('gold', 'NOUN'), ('toe', 'NOUN'), ('sock', 'NOUN'), ('inevitably', 'ADV'), ('kilter', 'PROPN'), ('washed', 'VERB'), ('little', 'ADJ'), ('troubling', 'ADJ'), ('esthetically', 'ADV'), ('arguably', 'ADV'), ('bit', 'NOUN'), ('corpo', 'NOUN')]",find gold toe sock inevitably kilter washed little troubling esthetically arguably bit corpo,17,2022
,"Mars & Cars, Chips & Dips",115,2022-07-06 02:42:10," structural pack is the right overall architecture from a physics standpoint, but it is still far from optimized",12466,1,7,19,120,0,0,1,0,1,0,0,0,0,0,0,0,,0,1,0,0,0,structural pack is the right overall architecture from a physics standpoint but it is still far from optimized,18,110,"['structural', 'pack', 'is', 'the', 'right', 'overall', 'architecture', 'from', 'a', 'physics', 'standpoint', 'but', 'it', 'is', 'still', 'far', 'from', 'optimized']","['structural', 'pack', 'right', 'overall', 'architecture', 'physics', 'standpoint', 'still', 'far', 'optimized']","['structural', 'pack', 'right', 'overall', 'architecture', 'physic', 'standpoint', 'still', 'far', 'optimized']",structural pack right overall architecture physic standpoint still far optimized,"[('structural', 'ADJ'), ('pack', 'NOUN'), ('right', 'ADV'), ('overall', 'ADJ'), ('architecture', 'NOUN'), ('physic', 'NOUN'), ('standpoint', 'NOUN'), ('still', 'ADV'), ('far', 'ADV'), ('optimized', 'VERB')]","[('structural', 'ADJ'), ('pack', 'NOUN'), ('right', 'ADV'), ('overall', 'ADJ'), ('architecture', 'NOUN'), ('physic', 'NOUN'), ('standpoint', 'NOUN'), ('still', 'ADV'), ('far', 'ADV'), ('optimized', 'VERB')]",structural pack right overall architecture physic standpoint still far optimized,2,2022
